eprtr_facility_id,eprtr_facility_name,eprtr_country,eprtr_activity,activity_label,eta,substitutable_TJ,heat_demand_TJ,note,routing_mode
ES.CAED/001752000.FACILITY,COMPLEJO INDUSTRIAL SABIC ”FINCA CASA GRANDE”,Spain,4(a)(viii),Basic organic chemicals / olefins,1.0,5506.3,4019.6,,tech_split
SE.CAED/10019583.Facility,Riskullaverket,Sweden,1(c),EXCLUDE — power stations,,,,no LCP data,
https://registry.gdi-de.org/id/de.bw.lubw.inspire.pf/pf-450-4124448-00000000,Koehler Oberkirch GmbH ,Germany,6(b),Wood products / panels,,,,no LCP data,
EE.KAUR.TTR/192.FACILITY,"Enefit Power AS, Auvere elektrijaam",Estonia,1(c),EXCLUDE — power stations,0.0,7370.0,0.0,,tech_split
EL.CAED/100687.FACILITY,PPC S.A. LIGNITIKI MEGALOPOLIS (SES UNIT ΙV),Greece,1(c),EXCLUDE — power stations,0.0,32908.7,0.0,,tech_split
https://registry.gdi-de.org/id/de.hh/pf.bube-eureg_/11643,Vattenfall Heizkraftwerk Moorburg GmbH ,Germany,1(c),EXCLUDE — power stations,0.0,95.3,0.0,,tech_split
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-954036-900-0897639,Evonik Operations GmbH - Werk Herne/Witten Betriebsteil W-,Germany,4(a)(viii),Basic organic chemicals / olefins,,,,no LCP data,
FR.CAED/8155.FACILITY,LA ROUTIERE DE L'EST PARISIEN-REP,France,5(d),Landfill / other waste,,,,no LCP data,
https://registry.gdi-de.org/id/de.sn.sax4inspire.pf/70015959,DREWAG AMD EVC 2 EnergyCenter Wilschdorf ,Germany,1(c),EXCLUDE — power stations,,,,no LCP data,
EE.KAUR.TTR/38.FACILITY,"Silpower AS, Silpower Aktsiaselts",Estonia,1(c),EXCLUDE — power stations,0.0,52.12,0.0,,tech_split
DE.EEA/06-08-4380932.FACILITY,RWV GmbH,Germany,6(b),Wood products / panels,,,,no LCP data,
UK.CAED/EW_EA-18515.FACILITY,Peterborough Energy Recovery Facility,United Kingdom,5(a),Hazardous waste disposal,1.0,46.9,39.86,,fuel_routing
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000001728.ProductionFacility,"Turun Seudun Energiantuotanto Oy, Naantalin voimalaitos",Finland,1(c),EXCLUDE — power stations,0.0,142.28,0.0,,tech_split
CZ.MZP.S20C/CZ92280475.FACILITY,"Procter & Gamble - Rakona, s.r.o",Czechia,4(a)(xi),Basic organic chemicals / olefins,,,,no LCP data,
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-111000-100-0407176,Stadtwerke Düsseldorf AG,Germany,5(b),Municipal waste incineration (WtE),1.0,19.11,16.24,,fuel_routing
NL.RIVM/000204617.FACILITY,Power Plant Rotterdam,Netherlands,1(c),EXCLUDE — power stations,0.0,9468.17,0.0,,tech_split
ES.EEA/3533.FACILITY,CENTRAL TÈRMICA DE SANT ADRIÀ DEL BESÒS,Spain,1(c),EXCLUDE — power stations,0.0,21784.28,0.0,,tech_split
NO.EEA/0000.0043.02.FACILITY,Volve,Norway,3(a),Cement clinker,,,,no LCP data,
UK.SEPA/200000157.Facility,"Flotta North Sea Terminal, Orkney",United Kingdom,1(a),Petroleum refineries,,,,no LCP data,
IT.CAED/670431001.FACILITY,Termica Celano S.p.A.,Italy,1(c),EXCLUDE — power stations,,,,no LCP data,
DK.CAED/000106077.FACILITY,FMC (Cheminova A/S),Denmark,4(d),unmapped,,,,activity not in config,
BG.CAED/005000005.FACILITY,Cement company Holcim BG,Bulgaria,3(c)(i),Glass,,,,no LCP data,
