source_id,source_name,latitude,longitude,pvgis_year,annual_kwh_per_kwp,annual_cf,hourly_file,error
IT.CAED/980571001.FACILITY,Raffineria di Milazzo S.C.p.A.,38.2027,15.2723,2023,1810.89,0.206723,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/IT.CAED_980571001.FACILITY.csv,
EL.CAED/100058.FACILITY,HELLENIC PETROLEUM R.S.S.O.P.P. S.A. –SOUTH REFINERIES COMPLEX – ELEFSIS INDUSTRIAL FACILITIES,38.04222,23.51083,2023,1811.88,0.206835,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/EL.CAED_100058.FACILITY.csv,
PL.MŚ/000000058.FACILITY,ArcelorMittal Poland S.A. Oddział Dąbrowa Górnicza,50.3461112976074,19.28444480896,2023,1223.69,0.13969,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/PL.MŚ_000000058.FACILITY.csv,
IT.CAED/301751001.FACILITY,Raffineria di Venezia,45.4594,12.2667,2023,1623.99,0.185387,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/IT.CAED_301751001.FACILITY.csv,
IT.CAED/930121001.FACILITY,Bioraffineria di Gela S.p.A  (ex RAFFINERIA di Gela SpA),37.0554,14.2772,2023,1922.48,0.219461,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/IT.CAED_930121001.FACILITY.csv,
IT.CAED/030392001.FACILITY,Stabilimento di Sora (FR),41.6994,13.5869,2023,1656.29,0.189074,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/IT.CAED_030392001.FACILITY.csv,
FR.CAED/759.FACILITY,GASCOGNE PAPIER,44.20724,-1.2716,2023,1577.68,0.1801,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/FR.CAED_759.FACILITY.csv,
ES.CAED/001529000.FACILITY,"REPSOL PETRÓLEO, S.A. - C.I. CARTAGENA",37.622214,-0.982184,2023,2038.48,0.232703,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/ES.CAED_001529000.FACILITY.csv,
FR.CAED/146.FACILITY,SAICA PAPER FRANCE,49.36547,3.41373,2023,1287.43,0.146967,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/FR.CAED_146.FACILITY.csv,
FR.CAED/4151.FACILITY,TEREOS STARCH & SWEETENERS LBN,49.48913,0.52521,2023,1310.05,0.149549,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/FR.CAED_4151.FACILITY.csv,
