run_type,source_id,source_name,country,iso3_country,eprtr_activity,latitude,longitude,annual_heat_demand_MWh_th,heat_demand_provenance,pvgis_year,pvgis_annual_cf,pvgis_kwh_per_kwp,bnef_annual_cost_usd_kw_yr,bnef_data_source,site_pv_lcoe_eur_mwh,bnef_country_lcoe_eur_mwh,lcoe_delta_eur_mwh,lcoh_hb_site_specific_eur_mwhth,lcoh_hb_bnef_eur_mwhth,lcoh_hb_delta_eur_mwhth,lcoh_gas_eur_mwhth,lcoh_hb_vs_gas_delta_eur_mwhth,electricity_needed_mwh_yr,solar_capacity_needed_mwp,land_needed_km2,suitable_land_km2,land_feasibility,land_surplus_deficit_km2,computation_status,notes
offgrid_bnef_pv,PL.MŚ/000000212.FACILITY,Kronospan Mielec Sp. z o.o.,Poland,POL,6(b),50.307014465332,21.470874786377,160577.78,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.137456,1204.12,54.68,proxied,41.823,38.332,3.491,48.623,44.744,3.879,104.661,-56.038,178419.8,148.175,14.8175,112.6046,FEASIBLE,97.79,COMPUTED,
offgrid_bnef_pv,FR.CAED/7646.FACILITY,RHONE ENERGIES FOS-SUR-MER SAS,France,FRA,1(a),43.44832,4.93111,1654664.84,HEAT_DEMAND_INFERRED_FROM_TOTAL_FUEL,2023,0.219543,1923.2,42.22,bnef,20.219,39.096,-18.877,24.618,45.593,-20.975,99.913,-75.295,1838516.5,955.969,95.5969,45.1231,INFEASIBLE,-50.47,COMPUTED,SITE_LCOE_DEVIATES_GT20PCT_FROM_BNEF
offgrid_bnef_pv,FR.CAED/6155.FACILITY,EGGER PANNEAUX ET DECORS,France,FRA,6(b),48.33671,6.65654,41129.73,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.151504,1327.17,42.22,bnef,29.299,39.096,-9.797,34.707,45.593,-10.886,99.913,-65.206,45699.7,34.434,3.4434,104.7903,FEASIBLE,101.35,COMPUTED,SITE_LCOE_DEVIATES_GT20PCT_FROM_BNEF
offgrid_bnef_pv,FR.CAED/1260.FACILITY,STE BEARNAISE DE GESTION INDUSTRIELLE,France,FRA,1(b),43.41473,-0.61294,456494.87,HEAT_DEMAND_INFERRED_FROM_TOTAL_FUEL,2023,0.17531,1535.72,42.22,bnef,25.32,39.096,-13.776,30.286,45.593,-15.307,99.913,-69.627,507216.5,330.28,33.028,104.0581,FEASIBLE,71.03,COMPUTED,SITE_LCOE_DEVIATES_GT20PCT_FROM_BNEF
offgrid_bnef_pv,FR.CAED/791.FACILITY,LES DERIVES RESINIQUES ET TERPENIQUES,France,FRA,4(a)(ii),43.94703,-1.29872,88790.97,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.178338,1562.24,42.22,bnef,24.89,39.096,-14.206,29.808,45.593,-15.785,99.913,-70.105,98656.6,63.151,6.3151,52.8118,FEASIBLE,46.5,COMPUTED,SITE_LCOE_DEVIATES_GT20PCT_FROM_BNEF
offgrid_bnef_pv,PL.MŚ/000000136.FACILITY,"Celsa ""Huta Ostrowiec"" Sp.o.o.",Poland,POL,2(b),50.9482231140137,21.4450912475586,625380.0,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.138867,1216.47,54.68,proxied,41.399,38.332,3.067,48.151,44.744,3.407,104.661,-56.51,694866.7,571.213,57.1213,51.6088,INFEASIBLE,-5.51,COMPUTED,
offgrid_bnef_pv,ES.CAED/003378000.FACILITY,CEASA ENCE- FÁBRICA DE NAVIA,Spain,ESP,6(a),43.54111,-6.72114,16352.17,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.18565,1626.29,49.78,bnef,28.191,31.314,-3.123,33.476,36.946,-3.47,73.216,-39.74,18169.1,11.172,1.1172,30.2752,FEASIBLE,29.16,COMPUTED,
offgrid_bnef_pv,FR.CAED/7588.FACILITY,FIBRE EXCELLENCE PROVENCE,France,FRA,6(a),43.7932,4.66201,47637.37,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.209967,1839.31,42.22,bnef,21.141,39.096,-17.955,25.642,45.593,-19.951,99.913,-74.271,52930.4,28.777,2.8777,119.3867,FEASIBLE,116.51,COMPUTED,SITE_LCOE_DEVIATES_GT20PCT_FROM_BNEF
offgrid_bnef_pv,EE.KAUR.TTR/88.FACILITY,"Horizon Tselluloosi ja Paberi AS, Kehra paberivabrik",Estonia,EST,6(b),59.3405854971,25.3401582309,8555.56,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.127191,1114.19,60.97,proxied,50.398,38.332,12.066,58.151,44.744,13.407,83.883,-25.732,9506.2,8.532,0.8532,100.1514,FEASIBLE,99.3,COMPUTED,SITE_LCOE_DEVIATES_GT20PCT_FROM_BNEF
offgrid_bnef_pv,FR.CAED/9964.FACILITY,SOC D'EXPLOITATION THERMIQUE DU MIRAIL,France,FRA,5(b),43.55826,1.39858,1461.92,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.171746,1504.5,42.22,bnef,25.846,39.096,-13.25,30.87,45.593,-14.723,99.913,-69.043,1624.4,1.08,0.108,62.7731,FEASIBLE,62.67,COMPUTED,SITE_LCOE_DEVIATES_GT20PCT_FROM_BNEF
offgrid_bnef_pv,FR.CAED/10011.FACILITY,FIBRE EXCELLENCE SAINT-GAUDENS SAS,France,FRA,6(a),43.09995,0.72184,10955.22,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.183038,1603.41,42.22,bnef,24.251,39.096,-14.845,29.098,45.593,-16.495,99.913,-70.815,12172.5,7.592,0.7592,105.6059,FEASIBLE,104.85,COMPUTED,SITE_LCOE_DEVIATES_GT20PCT_FROM_BNEF
offgrid_bnef_pv,IT.CAED/330282002.FACILITY,Stabilimento di Tolmezzo,Italy,ITA,6(b),46.3939,13.0169,387966.22,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.165636,1450.97,47.52,bnef,30.163,33.128,-2.965,35.667,38.962,-3.295,83.636,-47.969,431073.6,297.093,29.7093,17.1423,INFEASIBLE,-12.57,COMPUTED,
