eprtr_facility_id,facility_name,country,iso3,analysis_year_grid,eprtr_activity_grid,temp_band,heat_MWh,match_method,least_cost_pathway_grid,least_cost_pathway_off,lcoh_gas_grid,lcoh_hb_grid,lcoh_hb_off,hb_savings_vs_grid_gas_EUR_MWhth,elec_grid_EUR_MWh,elec_off_hb_EUR_MWh,elec_ratio_grid_to_offhb,gas_EUR_MWh,bnef_data_source,lat,lon
PL.MŚ/000000318.FACILITY,Mondi Świecie S.A.,Poland,POL,2024,6(b),high,74312.22,spatial_nearest,natural_gas,heat_battery,104.661,234.541,44.744,59.917,209.15,38.332,5.456276740060524,81.015,proxied,53.3935470581055,18.3743133544922
PL.MŚ/000000108.FACILITY,Grupa Azoty Zakłady Azotowe Kędzierzyn Spółka Akcyjna,Poland,POL,2024,4(c),mid,86221.67,id_direct,natural_gas,heat_battery,104.661,234.541,44.744,59.917,209.15,38.332,5.456276740060524,81.015,proxied,50.303394317627,18.2594203948975
PL.MŚ/000000136.FACILITY,"Celsa ""Huta Ostrowiec"" Sp.o.o.",Poland,POL,2024,2(b),high,868583.33,id_direct,natural_gas,heat_battery,104.661,234.541,44.744,59.917,209.15,38.332,5.456276740060524,81.015,proxied,50.9482231140137,21.4450912475586
PL.MŚ/000000190.FACILITY,CEMEX Polska Sp. z o.o. - Zakład Cementownia Rudniki,Poland,POL,2024,3(c),high,441.67,id_direct,natural_gas,heat_battery,104.661,234.541,44.744,59.917,209.15,38.332,5.456276740060524,81.015,proxied,50.8750915527344,19.2573299407959
PL.MŚ/000000212.FACILITY,Kronospan Mielec Sp. z o.o.,Poland,POL,2024,6(b),high,200722.22,id_direct,natural_gas,heat_battery,104.661,234.541,44.744,59.917,209.15,38.332,5.456276740060524,81.015,proxied,50.307014465332,21.470874786377
PL.MŚ/000003652.FACILITY,"Oddział Huta Miedzi ""Głogów""",Poland,POL,2024,2(e),high,96055.56,spatial_nearest,natural_gas,heat_battery,104.661,234.541,44.744,59.917,209.15,38.332,5.456276740060524,81.015,proxied,51.6836814880371,15.9883890151978
ES.CAED/001527000.FACILITY,REPSOL REFINERIA TARRAGONA,Spain,ESP,2023,1(a),mid,3139444.44,id_direct,natural_gas,heat_battery,96.237,176.208,36.946,59.291,156.65,31.314,5.002554767835473,68.586,bnef,41.173678,1.227106
ES.CAED/005916000.FACILITY,ZABALGARBI,Spain,ESP,2023,5(b),high,1176381.23,id_direct,natural_gas,heat_battery,96.237,176.208,36.946,59.291,156.65,31.314,5.002554767835473,68.586,bnef,43.251759,-2.969134
https://data.gov.sk/set/data/so/b4d884b3-4442-43db-a19c-ceb6e127960f/SK57002803.NRZ.FACILITY,U.S.Steel s.r.o.,Slovakia,SVK,2022,2(b),high,2014211.91,spatial_nearest,natural_gas,heat_battery,103.786,257.097,44.744,59.042,229.45,38.332,5.985860377752269,76.188,proxied,48.617783,21.198325
https://data.gov.sk/set/data/so/b4d884b3-4442-43db-a19c-ceb6e127960f/SK37012102.NRZ.FACILITY,"SLOVNAFT, a.s.",Slovakia,SVK,2022,1(a),mid,2933727.37,spatial_nearest,natural_gas,heat_battery,103.786,257.097,44.744,59.042,229.45,38.332,5.985860377752269,76.188,proxied,48.119024,17.18056
