eprtr_facility_id,facility_name,country,iso3,analysis_year,temp_band,heat_MWh,least_cost_pathway_grid,least_cost_pathway_off,pathway_flip,lcoh_winner_grid,lcoh_winner_off,delta_winner_lcoh,lcoh_gas_grid,lcoh_gas_off,lcoh_hb_grid,lcoh_hb_off,lcoh_hp_grid,lcoh_hp_off,elec_grid_EUR_MWh,elec_off_hb_EUR_MWh,elec_off_hp_EUR_MWh,gas_EUR_MWh
https://registry.gdi-de.org/id/de.he.0945.de7.pf.eu_industrie/20000004,Opel Automobile GmbH ,Germany,DEU,2023,mid,1153044.44,natural_gas,heat_battery,natural_gas → heat_battery,115.596,47.885,-67.71100000000001,115.596,115.596,244.764,47.885,,,218.35,41.159,143.427,86.009
https://registry.gdi-de.org/id/de.bw.lubw.inspire.pf/pf-450-2142201-00000000,EnBW KW Walheim ,Germany,DEU,2023,mid,228055.56,natural_gas,heat_battery,natural_gas → heat_battery,115.596,47.885,-67.71100000000001,115.596,115.596,244.764,47.885,,,218.35,41.159,143.427,86.009
https://registry.gdi-de.org/id/de.bb.inspire.pf.eureg/45025611,"LEAG, Kraftwerk Schwarze Pumpe ",Germany,DEU,2023,mid,463240.56,natural_gas,heat_battery,natural_gas → heat_battery,115.596,47.885,-67.71100000000001,115.596,115.596,244.764,47.885,,,218.35,41.159,143.427,86.009
https://registry.gdi-de.org/id/de.rp.inspire.pf.bube-eureg/5000031,SWK Stadtwerke Kaiserslautern Versorgung s-AG,Germany,DEU,2023,mid,483566.67,natural_gas,heat_battery,natural_gas → heat_battery,115.596,47.885,-67.71100000000001,115.596,115.596,244.764,47.885,,,218.35,41.159,143.427,86.009
https://registry.gdi-de.org/id/de.hb/de.hb.pf.bube-eureg.06-04-11/2039669/2/0,Onyx Kraftwerk Farge GmbH & Co. KGaA ,Germany,DEU,2023,mid,272767.86,natural_gas,heat_battery,natural_gas → heat_battery,115.596,47.885,-67.71100000000001,115.596,115.596,244.764,47.885,,,218.35,41.159,143.427,86.009
https://registry.gdi-de.org/id/de.be.pf.lisa/222276,BEW HKW Charlottenburg ,Germany,DEU,2023,mid,249583.33,natural_gas,heat_battery,natural_gas → heat_battery,115.596,47.885,-67.71100000000001,115.596,115.596,244.764,47.885,,,218.35,41.159,143.427,86.009
https://registry.gdi-de.org/id/de.by.inspire.pf.ied/S00311,"Kraftwerk Plattling GmbH, Industriekraftwerk Plattling",Germany,DEU,2023,mid,34777.78,natural_gas,heat_battery,natural_gas → heat_battery,115.596,47.885,-67.71100000000001,115.596,115.596,244.764,47.885,,,218.35,41.159,143.427,86.009
https://registry.gdi-de.org/id/de.bw.lubw.inspire.pf/pf-450-34044741-00000000,BEB Bioenergie Baden GmbH ,Germany,DEU,2023,high,59793.61,natural_gas,heat_battery,natural_gas → heat_battery,115.596,47.885,-67.71100000000001,115.596,115.596,244.764,47.885,,,218.35,41.159,143.427,86.009
https://registry.gdi-de.org/id/de.mv.land.inspire.pf.bube/50000071,Heizkraftwerk GuD ,Germany,DEU,2023,mid,586666.39,natural_gas,heat_battery,natural_gas → heat_battery,115.596,47.885,-67.71100000000001,115.596,115.596,244.764,47.885,,,218.35,41.159,143.427,86.009
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-978040-900-0220187,Open Grid Europe GmbH Erdgasverdichterstation Werne,Germany,DEU,2023,mid,266388.89,natural_gas,heat_battery,natural_gas → heat_battery,115.596,47.885,-67.71100000000001,115.596,115.596,244.764,47.885,,,218.35,41.159,143.427,86.009
https://registry.gdi-de.org/id/de.ni.mu/06277201660,Smurfit Westrock Hoya Papier & Board GmbH,Germany,DEU,2023,high,701514.72,natural_gas,heat_battery,natural_gas → heat_battery,115.596,47.885,-67.71100000000001,115.596,115.596,244.764,47.885,,,218.35,41.159,143.427,86.009
https://registry.gdi-de.org/id/de.ni.mu/31000006232,SEFE Storage GmbH Speicher Rheden,Germany,DEU,2023,mid,315158.89,natural_gas,heat_battery,natural_gas → heat_battery,115.596,47.885,-67.71100000000001,115.596,115.596,244.764,47.885,,,218.35,41.159,143.427,86.009
https://registry.gdi-de.org/id/de.st.lau.pf.anlagen-ied-euregistry/100276,Mercer Stendal GmbH ,Germany,DEU,2023,high,28753.89,natural_gas,heat_battery,natural_gas → heat_battery,115.596,47.885,-67.71100000000001,115.596,115.596,244.764,47.885,,,218.35,41.159,143.427,86.009
