eprtr_facility_id,country,geo_code,energy_type,analysis_year,price_used_EUR_MWh,year_of_price_data,source_dataset,band,tax,unit,retrieval_date,source_url,flag
https://registry.gdi-de.org/id/de.bb.inspire.pf.eureg/45026224,Germany,DE,electricity,2024,234.35,2024,Eurostat nrg_pc_205,IC (MWH500-1999),X_VAT,KWH,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205,OK
https://registry.gdi-de.org/id/de.bb.inspire.pf.eureg/45026224,Germany,DE,natural_gas,2024,77.187,2024,Eurostat nrg_pc_203,I3 (GJ10000-99999),X_VAT,KWH_GCV→LHV,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_203,OK
ES.CAED/006524000.FACILITY,Spain,ES,electricity,2021,126.65,2021,Eurostat nrg_pc_205,IC (MWH500-1999),X_VAT,KWH,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205,OK
ES.CAED/006524000.FACILITY,Spain,ES,natural_gas,2021,31.907,2021,Eurostat nrg_pc_203,I3 (GJ10000-99999),X_VAT,KWH_GCV→LHV,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_203,OK
FR.CAED/11416.FACILITY,France,FR,electricity,2024,179.35,2024,Eurostat nrg_pc_205,IC (MWH500-1999),X_VAT,KWH,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205,OK
FR.CAED/11416.FACILITY,France,FR,natural_gas,2024,76.743,2024,Eurostat nrg_pc_203,I3 (GJ10000-99999),X_VAT,KWH_GCV→LHV,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_203,OK
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0100334781.ProductionFacility,Finland,FI,electricity,2023,92.1,2023,Eurostat nrg_pc_205,IC (MWH500-1999),X_VAT,KWH,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205,OK
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0100334781.ProductionFacility,Finland,FI,natural_gas,2023,118.804,2023,Eurostat nrg_pc_203,I3 (GJ10000-99999),X_VAT,KWH_GCV→LHV,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_203,OK
ES.CAED/000169000.FACILITY,Spain,ES,electricity,2024,139.85,2024,Eurostat nrg_pc_205,IC (MWH500-1999),X_VAT,KWH,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205,OK
ES.CAED/000169000.FACILITY,Spain,ES,natural_gas,2024,52.715,2024,Eurostat nrg_pc_203,I3 (GJ10000-99999),X_VAT,KWH_GCV→LHV,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_203,OK
DK.CAED/000083543.FACILITY,Denmark,DK,electricity,2023,125.45,2023,Eurostat nrg_pc_205,IC (MWH500-1999),X_VAT,KWH,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205,OK
DK.CAED/000083543.FACILITY,Denmark,DK,natural_gas,2023,69.529,2023,Eurostat nrg_pc_203,I3 (GJ10000-99999),X_VAT,KWH_GCV→LHV,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_203,OK
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-362028-300-9968049,Germany,DE,electricity,2024,234.35,2024,Eurostat nrg_pc_205,IC (MWH500-1999),X_VAT,KWH,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205,OK
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-362028-300-9968049,Germany,DE,natural_gas,2024,77.187,2024,Eurostat nrg_pc_203,I3 (GJ10000-99999),X_VAT,KWH_GCV→LHV,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_203,OK
PL.MŚ/000000232.FACILITY,Poland,PL,electricity,2024,209.15,2024,Eurostat nrg_pc_205,IC (MWH500-1999),X_VAT,KWH,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205,OK
PL.MŚ/000000232.FACILITY,Poland,PL,natural_gas,2024,81.015,2024,Eurostat nrg_pc_203,I3 (GJ10000-99999),X_VAT,KWH_GCV→LHV,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_203,OK
RO.CAED/101BH0001.FACILITY,Romania,RO,electricity,2024,163.4,2024,Eurostat nrg_pc_205,IC (MWH500-1999),X_VAT,KWH,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205,OK
RO.CAED/101BH0001.FACILITY,Romania,RO,natural_gas,2024,54.713,2024,Eurostat nrg_pc_203,I3 (GJ10000-99999),X_VAT,KWH_GCV→LHV,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_203,OK
PL.MŚ/000000705.FACILITY,Poland,PL,electricity,2024,209.15,2024,Eurostat nrg_pc_205,IC (MWH500-1999),X_VAT,KWH,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205,OK
PL.MŚ/000000705.FACILITY,Poland,PL,natural_gas,2024,81.015,2024,Eurostat nrg_pc_203,I3 (GJ10000-99999),X_VAT,KWH_GCV→LHV,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_203,OK
FR.CAED/10790.FACILITY,France,FR,electricity,2024,179.35,2024,Eurostat nrg_pc_205,IC (MWH500-1999),X_VAT,KWH,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205,OK
FR.CAED/10790.FACILITY,France,FR,natural_gas,2024,76.743,2024,Eurostat nrg_pc_203,I3 (GJ10000-99999),X_VAT,KWH_GCV→LHV,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_203,OK
IT.CAED/200972003.FACILITY,Italy,IT,electricity,2024,218.2,2024,Eurostat nrg_pc_205,IC (MWH500-1999),X_VAT,KWH,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205,OK
IT.CAED/200972003.FACILITY,Italy,IT,natural_gas,2024,62.093,2024,Eurostat nrg_pc_203,I3 (GJ10000-99999),X_VAT,KWH_GCV→LHV,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_203,OK
BE.WA/119010000.FACILITY,Belgium,BE,electricity,2023,221.65,2023,Eurostat nrg_pc_205,IC (MWH500-1999),X_VAT,KWH,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205,OK
BE.WA/119010000.FACILITY,Belgium,BE,natural_gas,2023,64.535,2023,Eurostat nrg_pc_203,I3 (GJ10000-99999),X_VAT,KWH_GCV→LHV,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_203,OK
LV.LVGMC.PRTR/310017.Facility,Latvia,LV,electricity,2024,146.45,2024,Eurostat nrg_pc_205,IC (MWH500-1999),X_VAT,KWH,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205,OK
LV.LVGMC.PRTR/310017.Facility,Latvia,LV,natural_gas,2024,60.151,2024,Eurostat nrg_pc_203,I3 (GJ10000-99999),X_VAT,KWH_GCV→LHV,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_203,OK
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000002160.ProductionFacility,Finland,FI,electricity,2024,82.8,2024,Eurostat nrg_pc_205,IC (MWH500-1999),X_VAT,KWH,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205,OK
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000002160.ProductionFacility,Finland,FI,natural_gas,2024,97.995,2024,Eurostat nrg_pc_203,I3 (GJ10000-99999),X_VAT,KWH_GCV→LHV,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_203,OK
https://registry.gdi-de.org/id/de.he.0945.de7.pf.eu_industrie/80000011,Germany,DE,electricity,2024,234.35,2024,Eurostat nrg_pc_205,IC (MWH500-1999),X_VAT,KWH,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205,OK
https://registry.gdi-de.org/id/de.he.0945.de7.pf.eu_industrie/80000011,Germany,DE,natural_gas,2024,77.187,2024,Eurostat nrg_pc_203,I3 (GJ10000-99999),X_VAT,KWH_GCV→LHV,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_203,OK
https://registry.gdi-de.org/id/de.st.lau.pf.anlagen-ied-euregistry/100125,Germany,DE,electricity,2024,234.35,2024,Eurostat nrg_pc_205,IC (MWH500-1999),X_VAT,KWH,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205,OK
https://registry.gdi-de.org/id/de.st.lau.pf.anlagen-ied-euregistry/100125,Germany,DE,natural_gas,2024,77.187,2024,Eurostat nrg_pc_203,I3 (GJ10000-99999),X_VAT,KWH_GCV→LHV,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_203,OK
NL.RIVM/000203273.FACILITY,Netherlands,NL,electricity,2018,88.5,2018,Eurostat nrg_pc_205,IC (MWH500-1999),X_VAT,KWH,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205,OK
NL.RIVM/000203273.FACILITY,Netherlands,NL,natural_gas,2018,38.677,2018,Eurostat nrg_pc_203,I3 (GJ10000-99999),X_VAT,KWH_GCV→LHV,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_203,OK
MT.EEA/PS2.FACILITY,Malta,MT,electricity,2017,135.75,2017,Eurostat nrg_pc_205,IC (MWH500-1999),X_VAT,KWH,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205,OK
MT.EEA/PS2.FACILITY,Malta,MT,natural_gas,2017,32.85,2017,Eurostat nrg_pc_203,I3 (GJ10000-99999),X_VAT,KWH_GCV→LHV,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_203,[PRICE_FALLBACK_EU_AVERAGE]
ES.CAED/008739000.FACILITY,Spain,ES,electricity,2021,126.65,2021,Eurostat nrg_pc_205,IC (MWH500-1999),X_VAT,KWH,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205,OK
ES.CAED/008739000.FACILITY,Spain,ES,natural_gas,2021,31.907,2021,Eurostat nrg_pc_203,I3 (GJ10000-99999),X_VAT,KWH_GCV→LHV,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_203,OK
