eprtr_facility_id,facility_name,country,iso3,analysis_year_grid,eprtr_activity_grid,temp_band,heat_MWh,match_method,least_cost_pathway_grid,least_cost_pathway_off,lcoh_gas_grid,lcoh_hb_grid,lcoh_hb_off,hb_savings_vs_grid_gas_EUR_MWhth,elec_grid_EUR_MWh,elec_off_hb_EUR_MWh,elec_ratio_grid_to_offhb,gas_EUR_MWh,bnef_data_source,lat,lon
IT.CAED/721001004.FACILITY,Versalis S.p.A.,Italy,ITA,2024,4(a),mid,4146666.67,spatial_nearest,natural_gas,heat_battery,83.636,244.597,38.962,44.67399999999999,218.2,33.128,6.586573291475489,62.093,bnef,40.6395,18.0022
PT.CAED/PT.APA05771242.CI,Central Termoeléctrica do Pego (CI),Portugal,PRT,2021,,mid,4097416.78,spatial_nearest,natural_gas,heat_battery,48.956,127.264,44.744,4.212000000000003,112.6,38.332,2.9374934780340185,32.295,proxied,39.466027,-8.111977
IT.CAED/960101005.FACILITY,Raffineria ISAB Impianti NORD,Italy,ITA,2024,1(a),mid,4092427.86,id_direct,natural_gas,heat_battery,83.636,244.597,38.962,44.67399999999999,218.2,33.128,6.586573291475489,62.093,bnef,37.1791,15.1825
https://registry.gdi-de.org/id/de.st.lau.pf.anlagen-ied-euregistry/100787,SKW Stickstoffwerke Piesteritz GmbH ,Germany,DEU,2021,4(c),mid,4085727.5,spatial_nearest,natural_gas,heat_battery,56.108,206.208,47.885,8.222999999999999,183.65,41.159,4.461964576398843,38.732,bnef,51.88852,12.58348
ES.CAED/001482000.FACILITY,REFINERÍA LA RÁBIDA,Spain,ESP,2024,1(a),mid,4044082.3,id_direct,natural_gas,heat_battery,73.216,157.541,36.946,36.269999999999996,139.85,31.314,4.466053522386153,52.715,bnef,37.184329,-6.894507
IT.CAED/461001002.FACILITY,Stabilimento di Mantova,Italy,ITA,2024,4(a),mid,4015000.0,spatial_nearest,natural_gas,heat_battery,83.636,244.597,38.962,44.67399999999999,218.2,33.128,6.586573291475489,62.093,bnef,45.1457,10.8376
PT.CAED/PT.APA05769662.CI,Refinaria de Sines (CI),Portugal,PRT,2024,1(a),mid,3996666.67,spatial_nearest,natural_gas,heat_battery,77.224,139.986,44.744,32.480000000000004,124.05,38.332,3.2361995199833036,56.322,proxied,37.963901,-8.800138
ES.CAED/001479000.FACILITY,REFINERÍA GIBRALTAR,Spain,ESP,2024,1(a),mid,3665777.22,spatial_nearest,natural_gas,heat_battery,73.216,157.541,36.946,36.269999999999996,139.85,31.314,4.466053522386153,52.715,bnef,36.185634,-5.39647
ES.CAED/001615000.FACILITY,"COMPAÑÍA ESPAÑOLA DE PETRÓLEOS, S.A.U.",Spain,ESP,2011,4(a)(i),mid,3665777.22,spatial_nearest,natural_gas,heat_battery,43.863,129.541,36.946,6.917000000000002,114.65,31.314,3.6613016542121737,35.791,bnef,36.185634,-5.39647
NL.RIVM/000000062.FACILITY,Chemelot Site Permit BV,Netherlands,NLD,2024,4(a)(i),mid,3517489.88,spatial_nearest,natural_gas,heat_battery,100.222,235.375,44.744,55.477999999999994,209.9,38.332,5.4758426380048,77.02,proxied,50.98059,5.79632
BG.CAED/003000008.FACILITY,"Solvey sody Company for Production of 
    Inorganic  chemicals",Bulgaria,BGR,2024,4(b)(iv),mid,3468611.11,spatial_nearest,natural_gas,heat_battery,66.989,138.708,46.197,20.792,122.9,39.64,3.100403632694248,47.111,proxied,43.199561,27.635453
